"user_id","user_profile","cleaning_metrics","device_status","usage_summary","month"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成24次清扫。","2025-01"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:4次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每4天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-02"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:90%\n地毯增压使用:13次/月","胶刷更换:剩余47天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-02"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:87%","主刷缠绕:中度\n滤网寿命:剩余66天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-02"
"1005","120m² | 老人 | 防滑砖","手动操作占比:93%\n定时清扫使用:1次/周","电池衰减:26%\n水箱使用率:38%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-02"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:4次/月\n玩具避障率:75%","边刷寿命:剩余76天\n集尘袋消耗:1.2个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-02"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35m²\n沿边清扫:无死角","滤网寿命:剩余77天\n尘盒清理:每5天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-02"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:2次/周\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-02"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:91%","胶刷缠绕:中度\n滤网更换:剩余70天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-02"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:4次/月\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余85天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-02"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:47m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余54天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成26次清扫。","2025-03"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:4次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每4天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-03"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余44天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-03"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:中度\n滤网寿命:剩余62天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-03"
"1005","120m² | 老人 | 防滑砖","手动操作占比:92%\n定时清扫使用:1次/周","电池衰减:27%\n水箱使用率:41%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-03"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:4次/月\n玩具避障率:78%","边刷寿命:剩余72天\n集尘袋消耗:1.1个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-03"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:36m²\n沿边清扫:无死角","滤网寿命:剩余74天\n尘盒清理:每5天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-03"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:2次/周\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-03"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余65天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-03"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:4次/月\n定时清扫使用率:65%","电池衰减:16%\n边刷寿命:剩余80天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-03"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余51天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成25次清扫。","2025-04"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:87%\n避障失败:3次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每4天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-04"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:90%\n地毯增压使用:15次/月","胶刷更换:剩余41天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-04"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:87%","主刷缠绕:严重\n滤网寿命:剩余58天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-04"
"1005","120m² | 老人 | 防滑砖","手动操作占比:91%\n定时清扫使用:2次/周","电池衰减:28%\n水箱使用率:44%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-04"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:3次/月\n玩具避障率:75%","边刷寿命:剩余68天\n集尘袋消耗:1.1个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-04"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35m²\n沿边清扫:无死角","滤网寿命:剩余71天\n尘盒清理:每5天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-04"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:2次/周\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-04"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:86%\n自动回充成功率:91%","胶刷缠绕:中度\n滤网更换:剩余60天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-04"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/月\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余75天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-04"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48m²\n漏扫区域:无","主刷寿命:剩余48天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成27次清扫。","2025-05"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:3次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每4天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-05"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:剩余38天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-05"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:89%","主刷缠绕:中度\n滤网寿命:剩余54天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-05"
"1005","120m² | 老人 | 防滑砖","手动操作占比:90%\n定时清扫使用:2次/周","电池衰减:29%\n水箱使用率:47%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-05"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:3次/月\n玩具避障率:81%","边刷寿命:剩余64天\n集尘袋消耗:1.1个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-05"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:37m²\n沿边清扫:无死角","滤网寿命:剩余68天\n尘盒清理:每5天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-05"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/周\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-05"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:90%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余55天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-05"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:84%\n手动辅助清扫:3次/月\n定时清扫使用率:75%","电池衰减:18%\n边刷寿命:剩余70天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-05"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:47m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余45天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成26次清扫。","2025-06"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:3次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-06"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:17次/月","胶刷更换:剩余35天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-06"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:88%","主刷缠绕:中度\n滤网寿命:剩余50天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-06"
"1005","120m² | 老人 | 防滑砖","手动操作占比:89%\n定时清扫使用:2次/周","电池衰减:30%\n水箱使用率:50%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-06"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:3次/月\n玩具避障率:78%","边刷寿命:剩余60天\n集尘袋消耗:1.1个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-06"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:36m²\n沿边清扫:无死角","滤网寿命:剩余65天\n尘盒清理:每4天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-06"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/周\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-06"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余50天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-06"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:3次/月\n定时清扫使用率:80%","电池衰减:19%\n边刷寿命:剩余65天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-06"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:49m²\n漏扫区域:无","主刷寿命:剩余42天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成28次清扫。","2025-07"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:2次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-07"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:18次/月","胶刷更换:剩余32天\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-07"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:严重\n滤网寿命:剩余46天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-07"
"1005","120m² | 老人 | 防滑砖","手动操作占比:88%\n定时清扫使用:3次/周","电池衰减:31%\n水箱使用率:53%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-07"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:2次/月\n玩具避障率:84%","边刷寿命:剩余56天\n集尘袋消耗:1.0个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-07"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:38m²\n沿边清扫:无死角","滤网寿命:剩余62天\n尘盒清理:每4天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-07"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:1次/周\n避障成功率:92%","主刷磨损:轻度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-07"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:92%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余45天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-07"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:2次/月\n定时清扫使用率:85%","电池衰减:20%\n边刷寿命:剩余60天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-07"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48m²\n漏扫区域:无","主刷寿命:剩余39天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成27次清扫。","2025-08"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:2次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-08"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:19次/月","胶刷更换:剩余29天\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-08"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:89%","主刷缠绕:中度\n滤网寿命:剩余42天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-08"
"1005","120m² | 老人 | 防滑砖","手动操作占比:87%\n定时清扫使用:3次/周","电池衰减:32%\n水箱使用率:56%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-08"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:2次/月\n玩具避障率:81%","边刷寿命:剩余52天\n集尘袋消耗:1.0个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-08"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:37m²\n沿边清扫:无死角","滤网寿命:剩余59天\n尘盒清理:每4天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-08"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:1次/周\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-08"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:90%\n自动回充成功率:92%","胶刷缠绕:轻度\n滤网更换:剩余40天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-08"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:84%\n手动辅助清扫:2次/月\n定时清扫使用率:90%","电池衰减:21%\n边刷寿命:剩余55天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-08"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:87%\n日均清扫:47m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余36天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成26次清扫。","2025-09"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-09"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:91%\n地毯增压使用:20次/月","胶刷更换:剩余26天\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-09"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:88%","主刷缠绕:中度\n滤网寿命:剩余38天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-09"
"1005","120m² | 老人 | 防滑砖","手动操作占比:86%\n定时清扫使用:3次/周","电池衰减:33%\n水箱使用率:59%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-09"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:2次/月\n玩具避障率:78%","边刷寿命:剩余48天\n集尘袋消耗:1.0个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-09"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:91%\n日均清扫:36m²\n沿边清扫:无死角","滤网寿命:剩余56天\n尘盒清理:每4天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-09"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:87%\n餐桌区域漏扫:0次/周\n避障成功率:91%","主刷磨损:中度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-09"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:88%\n自动回充成功率:92%","胶刷缠绕:轻度\n滤网更换:剩余35天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-09"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:83%\n手动辅助清扫:2次/月\n定时清扫使用率:95%","电池衰减:22%\n边刷寿命:剩余50天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-09"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:49m²\n漏扫区域:无","主刷寿命:剩余33天\nHEPA滤网:建议更换","木地板清扫稳定，建议保持低水量拖地；本月完成28次清扫。","2025-10"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:1次/月（电线缠绕）","边刷磨损:重度\n尘盒清理:每3天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-10"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:21次/月","胶刷更换:建议更换\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-10"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:90%","主刷缠绕:严重\n滤网寿命:剩余34天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-10"
"1005","120m² | 老人 | 防滑砖","手动操作占比:85%\n定时清扫使用:4次/周","电池衰减:34%\n水箱使用率:62%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-10"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:1次/月\n玩具避障率:84%","边刷寿命:剩余44天\n集尘袋消耗:0.9个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-10"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:38m²\n沿边清扫:无死角","滤网寿命:剩余53天\n尘盒清理:每4天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-10"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/周\n避障成功率:92%","主刷磨损:中度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-10"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:92%\n自动回充成功率:93%","胶刷缠绕:轻度\n滤网更换:剩余30天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-10"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:1次/月\n定时清扫使用率:100%","电池衰减:23%\n边刷寿命:剩余45天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-10"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:90%\n日均清扫:50m²\n漏扫区域:无","主刷寿命:剩余30天\nHEPA滤网:建议更换","木地板清扫稳定，建议保持低水量拖地；本月完成29次清扫。","2025-11"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:91%\n避障失败:1次/月（电线缠绕）","边刷磨损:重度\n尘盒清理:每2天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-11"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:94%\n地毯增压使用:22次/月","胶刷更换:建议更换\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-11"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:91%","主刷缠绕:中度\n滤网寿命:剩余30天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-11"
"1005","120m² | 老人 | 防滑砖","手动操作占比:84%\n定时清扫使用:4次/周","电池衰减:35%\n水箱使用率:65%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-11"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:1次/月\n玩具避障率:87%","边刷寿命:剩余40天\n集尘袋消耗:0.9个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-11"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:39m²\n沿边清扫:无死角","滤网寿命:剩余50天\n尘盒清理:每3天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-11"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/周\n避障成功率:92%","主刷磨损:中度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-11"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:94%\n自动回充成功率:93%","胶刷缠绕:轻度\n滤网更换:剩余25天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-11"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:86%\n手动辅助清扫:1次/月\n定时清扫使用率:105%","电池衰减:24%\n边刷寿命:剩余40天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-11"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:89%\n日均清扫:49m²\n漏扫区域:无","主刷寿命:剩余27天\nHEPA滤网:建议更换","木地板清扫稳定，建议保持低水量拖地；本月完成28次清扫。","2025-12"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:90%\n避障失败:1次/月（电线缠绕）","边刷磨损:重度\n尘盒清理:每2天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-12"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:23次/月","胶刷更换:建议更换\n尘盒容量:每1天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-12"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度\n滤网寿命:剩余26天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-12"
"1005","120m² | 老人 | 防滑砖","手动操作占比:83%\n定时清扫使用:4次/周","电池衰减:36%\n水箱使用率:68%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-12"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:1次/月\n玩具避障率:84%","边刷寿命:剩余36天\n集尘袋消耗:0.9个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-12"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:92%\n日均清扫:38m²\n沿边清扫:无死角","滤网寿命:剩余47天\n尘盒清理:每3天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-12"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:88%\n餐桌区域漏扫:0次/周\n避障成功率:92%","主刷磨损:中度\n水箱加水:每2天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-12"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:92%\n自动回充成功率:93%","胶刷缠绕:轻度\n滤网更换:剩余20天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-12"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:85%\n手动辅助清扫:1次/月\n定时清扫使用率:110%","电池衰减:25%\n边刷寿命:剩余35天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-12"
